Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
29769998,0.17385489,2.4,2547,15,6,9.88,0,61.331398,3.291962,57.64706,3.2261226,17.254902,98
35640000,0.1749657,2.5,2573,14,6,6.99,0,61.80177,2.282449,22.352942,2.282449,17.254902,100
34970000,0.17844933,2.5,2605,14,6,21.65,0,62.27922,6.999394,57.2549,7.069388,16.862745,101
34810000,0.1820624,2.6,2644,14,6,18.09,0,62.870483,5.7911167,54.509804,5.906939,16.862745,102
35230000,0.18604288,2.6,2683,13,6,20.27,0,63.464012,6.3642073,46.666668,6.618776,16.862745,104
30789998,0.18659079,2.7,2676,14,6,3.26,0,63.958076,1.0235479,9.411765,1.0644898,17.254902,104
34520000,0.1961743,2.8,2736,13,6,40.22,0,64.63859,12.627944,91.76471,13.133062,14.90196,104
35440000,0.20136982,2.8,2822,13,6,32.62,0,65.13688,9.771953,71.76471,10.651428,14.117647,109
35590000,0.20814471,2.9,2893,13,6,40.55,0,65.682045,11.822157,92.15686,13.240816,14.90196,112
35500000,0.21810944,3,3025,12,6,46.67,0,66.42054,13.137227,83.13725,15.239183,15.686275,116
35310000,0.22641559,3,3076,13,6,38.22,0,67.19348,10.487396,33.72549,12.480001,16.078432,119
35550000,0.23249583,3.1,3109,13,6,30.92,0,67.886955,8.413606,56.47059,10.096327,16.470589,120
34860000,0.23914531,3.2,3179,12,6,26.61,0,68.791916,7.0642114,54.509804,8.68898,16.862745,123
35250000,0.2436333,3.3,3185,12,6,28.05,0,69.3557,7.446491,44.705883,9.1591835,17.254902,123
34790000,0.24982806,3.3,3152,13,6,30.18,0,70.06171,8.011947,52.941177,9.854694,17.254902,123
34850000,0.253088,3.4,3157,13,6,20.34,0,70.60073,5.3997016,36.47059,6.641633,17.647058,123
34840000,0.25702974,3.5,3152,12,6,23.97,0,71.1419,6.3633647,42.35294,7.8269386,17.647058,123
35450000,0.26097006,3.5,3159,12,6,24.31,0,71.66475,6.453625,49.411766,7.937959,17.647058,123
35510000,0.26445645,3.6,3158,12,6,21.05,0,72.18825,5.5881863,41.568626,6.8734694,17.647058,123
30279998,0.26539522,3.7,3174,12,6,4.14,0,72.90193,1.090191,10.196078,1.3518368,17.647058,124
32829998,0.2679514,3.7,3153,12,6,15.94,0,73.37621,4.2663097,26.666666,5.204898,17.647058,122
30559998,0.27130175,3.8,3111,13,6,20.43,0,73.840515,5.51324,9.019608,6.67102,17.647058,121
