time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
08:25:04.558,,,,,,,,,,,1.9607843,,,
08:25:04.560,,,22.3,,,,,,,,,,,
08:25:04.562,,1.5728525,,,,,,,,,,,,
08:25:04.564,,,,,,,,,87.1882,,,,,
08:25:04.707,,,,,11,,,,,,,,,
08:25:04.708,,,,,,,34.62,,,,,,,
08:25:04.858,35250000,,,,,,,,,,,,,
08:25:04.993,,,,,,5,,,,,,,,
08:25:05.619,,,,,,,,0,,,,,,
08:25:05.620,,,,,,,,,,,,11.304489,,
08:25:05.761,,,,,,,,,,,,,6.27451,
08:25:06.240,,,,,,,,,,,,,,30
08:25:06.244,,,,1243,,,,,,1.7523808,,,,
08:25:06.379,,,,,,,,,,,13.725491,,,
08:25:06.382,,,22.3,,,,,,,,,,,
08:25:06.389,,1.5731188,,,,,,,,,,,,
08:25:06.390,,,,,,,,,87.07499,,,,,
08:25:06.578,,,,,12,,,,,,,,,
08:25:06.580,,,,,,,1.61,,,,,,,
08:25:06.725,32749998,,,,,,,,,,,,,
08:25:06.861,,,,,,5,,,,,,,,
08:25:07.498,,,,,,,,0,,,,,,
08:25:07.500,,,,,,,,,,,,0.5257143,,
08:25:07.669,,,,,,,,,,,,,5.490196,
08:25:08.150,,,,2106,,,,,,,,,,29
08:25:08.151,,,,,,,,,,8.748769,,,,
08:25:08.228,,,,,,,,,,,45.098038,,,
08:25:08.231,,,22.3,,,,,,,,,,,
08:25:08.235,,1.5744212,,,,,,,,,,,,
08:25:08.236,,,,,,,,,86.95899,,,,,
08:25:08.373,,,,,12,,7.77,,,,,,,
08:25:08.518,34900000,,,,,,,,,,,,,
08:25:08.858,,,,,,5,,,,,,,,
08:25:09.529,,,,,,,,0,,,,,,
08:25:09.531,,,,,,,,,,,,2.537143,,
08:25:09.868,,,,,,,,,,,,,3.9215686,
08:25:10.350,,,,,,,,,,,,,,41
08:25:10.475,,,,2943,,,,,,,,,,
08:25:10.478,,,,,,,,,,39.645596,,,,
08:25:10.624,,,,,,,,,,,100,,,
08:25:10.628,,,22.4,,,,,,,,,,,
08:25:10.631,,1.585235,,,,,,,,,,,,
08:25:10.632,,,,,,,,,86.84011,,,,,
08:25:10.770,,,,,11,,,,,,,,,
08:25:10.771,,,,,,,49.78,,,,,,,
08:25:11.113,35160000,,,,,,,,,,,,,
08:25:11.242,,,,,,5,,,,,,,,
08:25:11.884,,,,,,,,0,,,,,,
08:25:11.885,,,,,,,,,,,,16.254694,,
08:25:12.035,,,,,,,,,,,,,4.3137255,
08:25:12.503,,,,,,,,,,,,,,53
08:25:12.747,,,,2538,,,,,,,,,,
08:25:12.750,,,,,,,,,,22.505966,,,,
08:25:12.905,,,,,,,,,,,99.60784,,,
08:25:12.908,,,22.4,,,,,,,,,,,
08:25:12.911,,1.5927927,,,,,,,,,,,,
08:25:12.912,,,,,,,,,86.75709,,,,,
08:25:13.447,,,,,11,,,,,,,,,
08:25:13.449,,,,,,,36.53,,,,,,,
08:25:13.582,34250000,,,,,,,,,,,,,
08:25:13.934,,,,,,5,,,,,,,,
08:25:14.565,,,,,,,,0,,,,,,
08:25:14.566,,,,,,,,,,,,11.928163,,
08:25:14.709,,,,,,,,,,,,,5.490196,
08:25:15.182,,,,,,,,,,,,,,69
08:25:15.319,,,,2286,,,,,,,,,,
08:25:15.323,,,,,,,,,,12.6968355,,,,
08:25:15.463,,,,,,,,,,,86.666664,,,
08:25:15.474,,,22.4,,,,,,,,,,,
08:25:15.475,,1.5990226,,,,,,,,,,,,
08:25:15.477,,,,,,,,,86.70828,,,,,
08:25:15.616,,,,,12,,,,,,,,,
08:25:15.621,,,,,,,26.83,,,,,,,
08:25:16.173,35320000,,,,,,,,,,,,,
08:25:16.312,,,,,,5,,,,,,,,
08:25:16.963,,,,,,,,0,,,,,,
08:25:16.964,,,,,,,,,,,,8.760817,,
08:25:17.103,,,,,,,,,,,,,7.45098,
08:25:17.556,,,,,,,,,,,,,,79
08:25:17.558,,,,2613,,,,,,18.120382,,,,
08:25:17.660,,,,,,,,,,,100,,,
08:25:17.665,,,22.5,,,,,,,,,,,
08:25:17.669,,1.6077627,,,,,,,,,,,,
08:25:17.672,,,,,,,,,86.69014,,,,,
08:25:17.834,,,,,11,,,,,,,,,
08:25:17.836,,,,,,,43.84,,,,,,,
08:25:17.967,34990000,,,,,,,,,,,,,
08:25:18.099,,,,,,5,,,,,,,,
08:25:18.737,,,,,,,,0,,,,,,
08:25:18.738,,,,,,,,,,,,14.315102,,
08:25:18.877,,,,,,,,,,,,,9.019608,
08:25:19.331,,,,,,,,,,,,,,85
08:25:19.334,,,,2178,,,,,,,,,,
08:25:19.336,,,,,,,,,,1.9515008,,,,
08:25:19.477,,,,,,,,,,,7.45098,,,
08:25:19.481,,,22.5,,,,,,,,,,,
08:25:19.485,,1.6085991,,,,,,,,,,,,
